uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31400 4.44761
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31500 4.44071
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31600 4.43552
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31700 4.42129
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31800 4.42471
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31900 4.41673
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32000 4.41645
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32100 4.40889
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32200 4.42364
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32300 4.4305
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32400 4.4324
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32500 4.42019
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32600 4.42243
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32700 4.42033
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32800 4.41383
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 32900 4.41235
